forecastDate,taxagroup,NspExp,area_exp,mean_pareaBySp_exp
202405,amphibians,596,5274856.589992594,46.10402684563758
202405,birds,924,27053780.456497334,9.390692640692645
202405,mammals,434,9654852.969072385,19.40322580645162
202405,reptiles,775,13833012.127053902,33.51483870967743
202406,amphibians,239,1085772.597695143,42.86610878661088
202406,birds,555,4810334.125247286,1.902702702702704
202406,mammals,282,2135433.078417259,7.709219858156032
202406,reptiles,411,2997140.846960519,24.912408759124084
202407,amphibians,231,2012454.003559656,22.04761904761905
202407,birds,891,9086068.292691467,3.2424242424242373
202407,mammals,532,5244728.602703464,3.8063909774436127
202407,reptiles,766,8104244.381829505,12.378590078328987
202408,amphibians,137,610337.9066933246,34.71532846715328
202408,birds,401,2291049.7283733464,5.835411471321693
202408,mammals,207,1299993.6891105329,5.995169082125603
202408,reptiles,380,2048745.1955742578,20.126315789473693
202409,amphibians,110,537056.2593491906,32.80909090909091
202409,birds,137,893811.873198441,6.970802919708029
202409,mammals,70,674898.926295298,11.728571428571428
202409,reptiles,117,641563.7059705658,39.63247863247863
202410,amphibians,133,922205.8165819721,34.52631578947368
202410,birds,97,874478.9929863368,6.29896907216495
202410,mammals,53,391926.2168633385,14.584905660377359
202410,reptiles,118,1088832.333401077,19.13559322033898
202411,amphibians,33,109862.213679362,19.48484848484848
202411,birds,19,60453.47276356947,7.63157894736842
202411,mammals,26,95264.94210581093,20.807692307692307
202411,reptiles,27,89387.86875881477,33.03703703703704
202412,amphibians,1,3070.8651027753717,100
202412,birds,9,39654.01457916061,2.6666666666666665
202412,mammals,5,14277.481414590864,22
202412,reptiles,13,36677.602312595045,7.153846153846154
202501,amphibians,15,48554.419874031104,51.333333333333336
202501,birds,26,78527.83210450609,1.576923076923077
202501,mammals,11,33359.20449543747,5.909090909090908
202501,reptiles,16,43625.27331961944,18.25
202502,amphibians,15,44399.734956824774,54.86666666666667
202502,birds,27,76720.8892469336,3.4444444444444446
202502,mammals,4,13520.57201857772,8.5
202502,reptiles,18,57098.51339402973,27.77777777777778
